, ,assets_size,assets_stablecoins,assets_usdc,dt,stablecoins_ratio,usdc_ratio
128,1.0,5284560743.162203,480139047.47246206,252693691.25474,2023-11-14T00:00:00Z,0.0908569455074811,0.047817350114047856
129,1.0,5309010172.347867,426631669.47527814,197186177.577556,2023-11-13T00:00:00Z,0.0803599269214818,0.03714179690304718
130,1.0,5323892194.483274,533946216.361316,304448962.96359396,2023-11-12T00:00:00Z,0.10029245462832662,0.057185410944096536
131,1.0,5337329866.391385,547912445.015678,318415191.617956,2023-11-11T00:00:00Z,0.1026566576793063,0.059658143601538205
132,1.0,5311852381.881382,466322745.4731922,236826494.127487,2023-11-10T00:00:00Z,0.08778910104200362,0.04458453983685564
133,1.0,5327026127.04943,510512407.67754424,280652969.361839,2023-11-09T00:00:00Z,0.09583441032610636,0.052684736787144124
134,1.0,5337685925.472224,532249706.6038162,302566797.54811096,2023-11-08T00:00:00Z,0.0997154411172531,0.056685013275924984
135,1.0,5373811609.173836,554751403.7172482,324810791.751543,2023-11-07T00:00:00Z,0.10323238774694134,0.06044327850962365
136,1.0,5386071053.823852,575684498.0577413,345916603.48203605,2023-11-06T00:00:00Z,0.10688394050223919,0.06422429262912377
137,1.0,5399445529.81153,668496947.4789448,438898682.185246,2023-11-05T00:00:00Z,0.12380844362407689,0.08128588014491295
138,1.0,5410331760.366372,679772565.9718549,450029570.59255695,2023-11-04T00:00:00Z,0.12564341635231305,0.08317966263903977
139,1.0,5379711012.914862,477754976.767923,247926683.86862502,2023-11-03T00:00:00Z,0.08880681055562191,0.04608550222743139
140,1.0,5381399841.909752,464189232.1557137,237854912.791784,2023-11-02T00:00:00Z,0.0862580826164707,0.044199449916245956
141,1.0,5392004296.422992,554819541.1431911,340579650.814637,2023-11-01T00:00:00Z,0.10289671718385934,0.06316383149779287
142,1.0,5345965925.064984,522183542.5773317,312412946.652959,2023-10-31T00:00:00Z,0.09767805292754166,0.0584390082226649
143,1.0,5398376520.476346,326808096.4402847,116784731.488188,2023-10-30T00:00:00Z,0.060538218332990154,0.02163330605881545
144,1.0,5491891330.575654,390078397.4448116,179781078.829816,2023-10-29T00:00:00Z,0.07102806191249308,0.032735731282390754
145,1.0,5501991271.397353,414642522.80338925,204232455.10896602,2023-10-28T00:00:00Z,0.07536226474203067,0.03711973448062135
146,1.0,5525771251.960606,439585697.33184624,228488419.95421,2023-10-27T00:00:00Z,0.07955191724157534,0.04134959800826713
147,1.0,5554564904.660239,480961411.9023411,269540432.075768,2023-10-26T00:00:00Z,0.08658849435692398,0.0485259307798574
148,1.0,5538773973.34434,476010097.3456639,264373364.237803,2023-10-25T00:00:00Z,0.08594141946150703,0.04773138703801864
149,1.0,5539495640.427579,488848567.5470599,282984619.514878,2023-10-24T00:00:00Z,0.08824784768840922,0.051084906981357446
150,1.0,5567606888.734235,500618434.0393996,295487305.103635,2023-10-23T00:00:00Z,0.08991626816404283,0.05307258773990282
151,1.0,5610730260.285387,602966200.6306982,398333656.151262,2023-10-22T00:00:00Z,0.10746661711732844,0.07099497528348492
152,1.0,5606023527.259835,596208625.9646204,390762392.575184,2023-10-21T00:00:00Z,0.10635143128912997,0.06970402294515245
153,1.0,5595429751.419244,566732824.8464673,361138859.316086,2023-10-20T00:00:00Z,0.10128495040130192,0.06454175556836997
154,1.0,5572017522.272031,616247674.0709834,365275878.13128096,2023-10-19T00:00:00Z,0.1105968657865426,0.06555540729569297
155,1.0,5539678159.220596,554664927.6469274,303528365.360784,2023-10-18T00:00:00Z,0.10012583975184684,0.054791696672047974
156,1.0,5539985479.087742,555508321.5211095,304303715.484966,2023-10-17T00:00:00Z,0.1002725230270069,0.05492861247265851
157,1.0,5537099650.677545,552008538.002164,301281533.143599,2023-10-16T00:00:00Z,0.09969272233246114,0.054411434171449814
158,1.0,5539423622.685862,558528889.7435198,307373023.66420996,2023-10-15T00:00:00Z,0.10082797918833111,0.0554882682027442
159,1.0,5533316684.667186,553379238.643252,301705978.33848,2023-10-14T00:00:00Z,0.1000085970457222,0.05452534086373674
160,1.0,5515840338.380285,536037442.61766636,283275545.709105,2023-10-13T00:00:00Z,0.09718146460618413,0.05135673412046011
161,1.0,5510192955.605093,533602753.4437197,279983312.670124,2023-10-12T00:00:00Z,0.09683921375220207,0.05081188897120538
162,1.0,5544363009.436534,564395900.997061,309157753.992134,2023-10-11T00:00:00Z,0.10179634703507984,0.05576073454532936
163,1.0,5555845965.757185,579825718.8241348,325027052.658361,2023-10-10T00:00:00Z,0.10436317392487547,0.05850181136439486
164,1.0,5561248625.61624,586969980.7343776,330998549.889797,2023-10-09T00:00:00Z,0.10554643754474037,0.05951874698878782
165,1.0,5552031524.5538845,576679887.9230719,321506892.025994,2023-10-08T00:00:00Z,0.1038682661243371,0.057907973073302685
166,1.0,5541569106.997132,566531721.0285165,310721128.82113504,2023-10-07T00:00:00Z,0.10223308779334324,0.056070965248597025
167,1.0,5531683863.493617,544168368.2808738,287391079.26265603,2023-10-06T00:00:00Z,0.09837300570846363,0.05195363407502285
168,1.0,5526487207.7382345,545467130.429167,283914101.01984704,2023-10-05T00:00:00Z,0.09870051443625877,0.05137333903936448
169,1.0,5542174177.08962,558319062.155516,295900074.000996,2023-10-04T00:00:00Z,0.10074007858928533,0.053390612518855005
170,1.0,5531608474.857877,587768965.011907,298731101.612385,2023-10-03T00:00:00Z,0.10625642933396665,0.05400438280658688
171,1.0,5550073196.400398,612035953.8371865,322885391.466439,2023-10-02T00:00:00Z,0.11027529406893834,0.058176780745135444
