,delta_30d,delta_90d,period,surplus_buffer
759,-50813722.077534825,21179911.42701055,2022-02-27 00:00:00+00:00,64470483.9493664
760,-49512462.6364495,17407046.67530176,2022-02-26 00:00:00+00:00,64296702.306381464
761,-48065491.803186975,17067466.35002384,2022-02-25 00:00:00+00:00,64134480.36675625
762,-44656418.21763378,19350981.41691881,2022-02-24 00:00:00+00:00,64325473.33605385
763,-49192370.92289314,15947314.874628345,2022-02-23 00:00:00+00:00,63942613.0771812
764,-49499012.61318917,14981656.510174954,2022-02-22 00:00:00+00:00,63695164.87904656
765,-52417885.345715284,13894190.959482951,2022-02-21 00:00:00+00:00,63429391.76116477
766,27576449.558310658,12936473.552406557,2022-02-20 00:00:00+00:00,63018768.87887631
767,-55887142.0414022,11464836.377501294,2022-02-19 00:00:00+00:00,62833522.22084354
768,-52782980.442851216,10861531.44660074,2022-02-18 00:00:00+00:00,62700547.282248475
769,-53240829.69821771,10181261.253608348,2022-02-17 00:00:00+00:00,62519252.949010774
770,-56069343.32760686,9123476.256093778,2022-02-16 00:00:00+00:00,62273920.905804865
771,-57493967.82951688,7962347.255617471,2022-02-15 00:00:00+00:00,61970415.59758372
772,-59310938.70766766,7116926.449266607,2022-02-14 00:00:00+00:00,61757729.20197191
773,-51814811.98915064,9032195.960775122,2022-02-13 00:00:00+00:00,62230626.61941204
774,-50311620.376040705,9185395.818359368,2022-02-12 00:00:00+00:00,62063135.58128656
775,-51326994.200967684,9363134.925936112,2022-02-11 00:00:00+00:00,61780647.15063256
776,-53627249.92914195,9976863.37992894,2022-02-10 00:00:00+00:00,61594994.09537567
777,-56811810.17642547,10329382.671226205,2022-02-09 00:00:00+00:00,61329711.345317535
778,-58213731.686964884,10535776.465791535,2022-02-08 00:00:00+00:00,61048421.96900829
779,-58532715.91208423,9459492.824508598,2022-02-07 00:00:00+00:00,60824092.37234063
780,-56431430.18579167,10330276.918346688,2022-02-06 00:00:00+00:00,60761494.15390459
781,-58199383.42955379,10310819.24604106,2022-02-05 00:00:00+00:00,60498997.95517237
782,-61082998.35688383,10360630.586999726,2022-02-04 00:00:00+00:00,60262103.00178147
783,-62370064.55231722,10219045.448386619,2022-02-03 00:00:00+00:00,59964125.01249509
784,-63163816.11223768,9540923.202753643,2022-02-02 00:00:00+00:00,59643576.70753209
785,-61368114.06942129,9789682.751364056,2022-02-01 00:00:00+00:00,59417292.18180147
786,-66172759.27487089,9202123.932935776,2022-01-31 00:00:00+00:00,59203679.05966787
787,55955366.02477565,46504579.0001937,2022-01-30 00:00:00+00:00,69062257.12483114
788,54824244.66031271,46775164.900944464,2022-01-29 00:00:00+00:00,68900777.06547189
789,56524222.8912067,46720266.27925666,2022-01-28 00:00:00+00:00,68646954.25710899
790,57779821.48029574,44395662.183960155,2022-01-27 00:00:00+00:00,68366219.78334992
791,51639224.56845703,43667879.54272579,2022-01-26 00:00:00+00:00,68085068.73414148
792,51781818.8159771,44175105.844075,2022-01-25 00:00:00+00:00,67995863.8744895
793,53496512.50173061,44997233.4434024,2022-01-24 00:00:00+00:00,67985821.64618611
794,50861546.704308815,44896643.53368996,2022-01-23 00:00:00+00:00,67763576.87465115
795,52528689.43666531,45696713.835148185,2022-01-22 00:00:00+00:00,67737711.10464822
796,-28359180.238659475,18146937.865049258,2022-01-21 00:00:00+00:00,60752211.38093297
797,54080255.289568804,46013468.441515654,2022-01-20 00:00:00+00:00,67426985.95027386
798,52513473.66961312,45286269.88599941,2022-01-19 00:00:00+00:00,67038874.441934876
799,53405303.80316961,45581581.43140547,2022-01-18 00:00:00+00:00,66895211.55434374
800,53251111.23605314,46351993.14450158,2022-01-17 00:00:00+00:00,66882360.08341639
801,53386424.454693556,46203005.08578132,2022-01-16 00:00:00+00:00,66695947.20000976
802,56209790.40870678,46682403.86359216,2022-01-15 00:00:00+00:00,66632600.87657473
803,54517234.339556314,46745403.776229404,2022-01-14 00:00:00+00:00,66489378.28975319
804,50801386.77824697,46073069.70080946,2022-01-13 00:00:00+00:00,66198337.25602963
805,48378687.01593619,45946485.22628273,2022-01-12 00:00:00+00:00,65999304.20824634
806,53312321.70037099,46567436.36432228,2022-01-11 00:00:00+00:00,66002713.267633915
807,54619751.12809204,47217780.31618748,2022-01-10 00:00:00+00:00,65999175.1954347
808,57580378.4903733,47117851.2461032,2022-01-09 00:00:00+00:00,65833112.24464924
