,balance,inflow,interest,outflow,period
196,1490721776.9523673,16300675.732205795,199335.72878012195,,2023-09-13 00:00:00.000
197,1474221765.4913814,6982322.421773151,193916.20774664913,,2023-09-12 00:00:00.000
198,1467045526.8618617,7831437.094833691,199063.33336968068,,2023-09-11 00:00:00.000
199,1459015026.4336584,23602386.620302055,206911.4338160926,,2023-09-10 00:00:00.000
200,1435205728.3795402,14376659.473791374,173197.1981597904,,2023-09-09 00:00:00.000
201,1420655871.7075891,17226281.043793283,191321.56053795482,,2023-09-08 00:00:00.000
202,1403238269.103258,8698729.539507095,183924.82477838593,,2023-09-07 00:00:00.000
203,1394355614.7389724,24804778.65702741,196915.5819642525,,2023-09-06 00:00:00.000
204,1369353920.4999807,12578594.625100154,173125.85784384754,,2023-09-05 00:00:00.000
205,1356602200.0170367,568211.2821563873,197689.29862887462,,2023-09-04 00:00:00.000
206,1355836299.4362514,15377343.794047393,159850.3874337075,,2023-09-03 00:00:00.000
207,1340299105.2547703,11197903.635692585,181852.39085880897,,2023-09-02 00:00:00.000
208,1328919349.2282188,11066077.604748659,172996.44338166615,,2023-09-01 00:00:00.000
209,1317680275.1800885,13401855.674135933,174835.55311543378,,2023-08-31 00:00:00.000
210,1304103583.9528372,11302096.366425166,173221.76786308808,,2023-08-30 00:00:00.000
211,1292628265.818549,19298344.87402223,174028.42916107664,,2023-08-29 00:00:00.000
212,1273155892.5153656,14461783.486145142,174571.61949412795,,2023-08-28 00:00:00.000
213,1258519537.4097264,17456753.678418584,164439.28303214474,,2023-08-27 00:00:00.000
214,1240898344.4482756,70964476.58281563,163380.80623945614,,2023-08-26 00:00:00.000
215,1169770487.0592206,,152065.87917151133,25888111.241144486,2023-08-25 00:00:00.000
216,1195506532.4211936,75953858.33210182,155518.6319410223,,2023-08-24 00:00:00.000
217,1119397155.4571507,3149037.312259894,150534.6151158597,,2023-08-23 00:00:00.000
218,1116097583.529775,,149302.71753782924,9984028.345704548,2023-08-22 00:00:00.000
219,1125932309.1579416,,152325.30107565914,14518072.584524281,2023-08-21 00:00:00.000
220,1140298056.4413903,,262612.7482284359,337868152.03203195,2023-08-20 00:00:00.000
221,1477903595.7251937,30366294.1042471,297746.7740480324,,2023-08-19 00:00:00.000
222,1447239554.8468986,55487704.02945287,299428.5392114966,,2023-08-18 00:00:00.000
223,1391452422.2782342,8006996.606666744,295302.5543873608,,2023-08-17 00:00:00.000
224,1383150123.11718,27896464.16350622,291181.9799978086,,2023-08-16 00:00:00.000
225,1354962476.973676,22105654.64378399,279980.02638576424,,2023-08-15 00:00:00.000
226,1332576842.3035061,34498954.15751449,278834.9079688656,,2023-08-14 00:00:00.000
227,1297799053.2380228,38821279.768815726,269844.6098798786,,2023-08-13 00:00:00.000
228,1258707928.8593273,26705760.831877913,260326.2902182649,,2023-08-12 00:00:00.000
229,1231741841.7372313,56820679.85453987,256866.98813456707,,2023-08-11 00:00:00.000
230,1174664294.8945568,174201329.38210762,232490.42114872264,,2023-08-10 00:00:00.000
231,1000230475.0913004,114646681.89033698,196410.804074775,,2023-08-09 00:00:00.000
