period,balance,item,normalized
2020-08-05 00:00:00+00:00,383740217.41319716,Crypto-Loans,1.0
2020-08-05 00:00:00+00:00,-219844195.23177654,DSR,-0.5728985007455095
2020-08-05 00:00:00+00:00,,Stablecoins,
2020-08-05 00:00:00+00:00,-163547295.70963293,DAI,-0.4261927426114196
2020-08-05 00:00:00+00:00,-348726.4717873181,Equity,-0.0009087566430698674
2020-08-05 00:00:00+00:00,,Real-World Assets,
2020-08-06 00:00:00+00:00,,Real-World Assets,
2020-08-06 00:00:00+00:00,374176285.50263184,Crypto-Loans,1.0
2020-08-06 00:00:00+00:00,-348768.0757512707,Equity,-0.000932095617130759
2020-08-06 00:00:00+00:00,-203822959.19069588,DSR,-0.544724417574727
2020-08-06 00:00:00+00:00,-170004558.23618433,DAI,-0.4543434868081413
2020-08-06 00:00:00+00:00,,Others assets,
2020-08-06 00:00:00+00:00,,Stablecoins,
2020-08-07 00:00:00+00:00,376829635.1124437,Crypto-Loans,1.0
2020-08-07 00:00:00+00:00,-348892.5103843376,Equity,-0.0009258627185206126
2020-08-07 00:00:00+00:00,,Real-World Assets,
2020-08-07 00:00:00+00:00,-215229389.92354217,DSR,-0.5711583428392489
2020-08-07 00:00:00+00:00,-161251352.67851645,DAI,-0.42791579444222855
2020-08-07 00:00:00+00:00,,Stablecoins,
2020-08-07 00:00:00+00:00,,Others assets,
2020-08-08 00:00:00+00:00,,Others assets,
2020-08-08 00:00:00+00:00,,Stablecoins,
2020-08-08 00:00:00+00:00,-216199353.17341417,DSR,-0.5754915330885223
2020-08-08 00:00:00+00:00,,Real-World Assets,
2020-08-08 00:00:00+00:00,-349034.31357241696,Equity,-0.0009290790618470295
2020-08-08 00:00:00+00:00,375677730.675072,Crypto-Loans,1.0
2020-08-08 00:00:00+00:00,-159129343.1880847,DAI,-0.42357938784962873
2020-08-09 00:00:00+00:00,,Real-World Assets,
2020-08-09 00:00:00+00:00,,Others assets,
2020-08-09 00:00:00+00:00,,Stablecoins,
2020-08-09 00:00:00+00:00,-349404.46599760145,Equity,-0.0009302210688575232
2020-08-09 00:00:00+00:00,-215725528.89505622,DSR,-0.5743270381380622
2020-08-09 00:00:00+00:00,375614440.15316945,Crypto-Loans,1.0
2020-08-09 00:00:00+00:00,-159539506.7921149,DAI,-0.4247427407930784
2020-08-10 00:00:00+00:00,-161350376.07840207,DAI,-0.3876684426359947
2020-08-10 00:00:00+00:00,-349404.46599760145,Equity,-0.0008394965569682543
2020-08-10 00:00:00+00:00,416207145.9345059,Crypto-Loans,1.0
2020-08-10 00:00:00+00:00,,Stablecoins,
2020-08-10 00:00:00+00:00,,Real-World Assets,
2020-08-10 00:00:00+00:00,-254507365.3901055,DSR,-0.6114920608070353
2020-08-10 00:00:00+00:00,,Others assets,
2020-08-11 00:00:00+00:00,,Real-World Assets,
2020-08-11 00:00:00+00:00,,Stablecoins,
2020-08-11 00:00:00+00:00,-349492.3018725661,Equity,-0.0008362621564095571
2020-08-11 00:00:00+00:00,-160595535.14290583,DAI,-0.38427160715351744
2020-08-11 00:00:00+00:00,,Others assets,
2020-08-11 00:00:00+00:00,417921938.9444704,Crypto-Loans,1.0
2020-08-11 00:00:00+00:00,-256976911.4996913,DSR,-0.6148921306900713
2020-08-12 00:00:00+00:00,,Stablecoins,
2020-08-12 00:00:00+00:00,,Real-World Assets,
2020-08-12 00:00:00+00:00,,Others assets,
2020-08-12 00:00:00+00:00,-258011918.30656776,DSR,-0.6156874317569266
2020-08-12 00:00:00+00:00,-160701704.12460813,DAI,-0.38347848479572694
2020-08-12 00:00:00+00:00,-349533.64187256614,Equity,-0.0008340834473447173
2020-08-12 00:00:00+00:00,419063156.0730492,Crypto-Loans,1.0
2020-08-13 00:00:00+00:00,-249806273.495757,DSR,-0.5834177223586793
2020-08-13 00:00:00+00:00,-349533.64187256614,Equity,-0.0008163290632190247
2020-08-13 00:00:00+00:00,,Real-World Assets,
2020-08-13 00:00:00+00:00,428177382.8978385,Crypto-Loans,1.0
2020-08-13 00:00:00+00:00,,Stablecoins,
2020-08-13 00:00:00+00:00,,Others assets,
2020-08-13 00:00:00+00:00,-178021575.76020822,DAI,-0.4157659485781002
2020-08-14 00:00:00+00:00,,Stablecoins,
2020-08-14 00:00:00+00:00,,Real-World Assets,
2020-08-14 00:00:00+00:00,-207576394.6745655,DAI,-0.5047159336622962
2020-08-14 00:00:00+00:00,-203347718.7760896,DSR,-0.4944340318709071
2020-08-14 00:00:00+00:00,,Others assets,
2020-08-14 00:00:00+00:00,411273710.2796802,Crypto-Loans,1.0
2020-08-14 00:00:00+00:00,-349596.82902436395,Equity,-0.0008500344667949385
2020-08-15 00:00:00+00:00,,Real-World Assets,
2020-08-15 00:00:00+00:00,,Stablecoins,
2020-08-15 00:00:00+00:00,,Others assets,
2020-08-15 00:00:00+00:00,411822449.8467896,Crypto-Loans,1.0
2020-08-15 00:00:00+00:00,-198369471.96667728,DSR,-0.481686882394286
2020-08-15 00:00:00+00:00,-213103381.05108726,DAI,-0.5174642157812624
2020-08-15 00:00:00+00:00,-349596.82902436395,Equity,-0.0008489018244498922
2020-08-16 00:00:00+00:00,-349764.27883851685,Equity,-0.0008333545894506248
2020-08-16 00:00:00+00:00,-205306564.5711845,DSR,-0.4891670710282278
2020-08-16 00:00:00+00:00,-214050100.1612968,DAI,-0.5099995743823199
2020-08-16 00:00:00+00:00,419706429.01132053,Crypto-Loans,1.0
2020-08-16 00:00:00+00:00,,Real-World Assets,
2020-08-16 00:00:00+00:00,,Others assets,
2020-08-16 00:00:00+00:00,,Stablecoins,
2020-08-17 00:00:00+00:00,,Others assets,
2020-08-17 00:00:00+00:00,-216415841.56511194,DAI,-0.507837444032744
2020-08-17 00:00:00+00:00,,Real-World Assets,
2020-08-17 00:00:00+00:00,-209386161.60617337,DSR,-0.49134172598873244
2020-08-17 00:00:00+00:00,,Stablecoins,
2020-08-17 00:00:00+00:00,426151801.3452313,Crypto-Loans,1.0
2020-08-17 00:00:00+00:00,-349798.173945296,Equity,-0.0008208299785219487
2020-08-18 00:00:00+00:00,-227268699.7153761,DAI,-0.5338052852738796
2020-08-18 00:00:00+00:00,,Real-World Assets,
2020-08-18 00:00:00+00:00,-198133446.7882306,DSR,-0.46537284376398824
2020-08-18 00:00:00+00:00,-349913.2549828462,Equity,-0.0008218709621305271
2020-08-18 00:00:00+00:00,,Stablecoins,
2020-08-18 00:00:00+00:00,,Others assets,
2020-08-18 00:00:00+00:00,425752059.7585902,Crypto-Loans,1.0
2020-08-19 00:00:00+00:00,,Stablecoins,
2020-08-19 00:00:00+00:00,,Real-World Assets,
2020-08-19 00:00:00+00:00,,Others assets,
2020-08-19 00:00:00+00:00,418684808.56885,Crypto-Loans,1.0
2020-08-19 00:00:00+00:00,-201248906.3160222,DSR,-0.48066923422402635
2020-08-19 00:00:00+00:00,-350347.1919229927,Equity,-0.0008367802813781346
2020-08-19 00:00:00+00:00,-217085555.06090412,DAI,-0.5184939854945939
2020-08-20 00:00:00+00:00,,Real-World Assets,
2020-08-20 00:00:00+00:00,-214769875.57122758,DAI,-0.49916715598679157
2020-08-20 00:00:00+00:00,430256424.11639476,Crypto-Loans,1.0
2020-08-20 00:00:00+00:00,,Stablecoins,
2020-08-20 00:00:00+00:00,-215136183.8032435,DSR,-0.5000185278931337
2020-08-20 00:00:00+00:00,-350364.7419229927,Equity,-0.0008143161200731092
2020-08-20 00:00:00+00:00,,Others assets,
2020-08-21 00:00:00+00:00,,Others assets,
2020-08-21 00:00:00+00:00,-216337870.6633976,DAI,-0.5004179006084497
2020-08-21 00:00:00+00:00,,Stablecoins,
2020-08-21 00:00:00+00:00,432314412.4148158,Crypto-Loans,1.0
2020-08-21 00:00:00+00:00,,Real-World Assets,
2020-08-21 00:00:00+00:00,-350539.2226424636,Equity,-0.0008108432487467315
2020-08-21 00:00:00+00:00,-215626002.528775,DSR,-0.49877125614280193
2020-08-22 00:00:00+00:00,440555806.4676168,Crypto-Loans,1.0
2020-08-22 00:00:00+00:00,-350579.6357424636,Equity,-0.0007957666897036642
2020-08-22 00:00:00+00:00,-222243989.2371191,DAI,-0.5044627399626731
2020-08-22 00:00:00+00:00,,Others assets,
2020-08-22 00:00:00+00:00,-217961237.59475452,DSR,-0.49474149334762163
2020-08-22 00:00:00+00:00,,Real-World Assets,
2020-08-22 00:00:00+00:00,,Stablecoins,
2020-08-23 00:00:00+00:00,,Real-World Assets,
2020-08-23 00:00:00+00:00,-219091845.57279944,DSR,-0.4981564756690398
2020-08-23 00:00:00+00:00,,Stablecoins,
2020-08-23 00:00:00+00:00,-220362749.9228931,DAI,-0.5010461735046662
2020-08-23 00:00:00+00:00,,Others assets,
2020-08-23 00:00:00+00:00,439805274.59479916,Crypto-Loans,1.0
2020-08-23 00:00:00+00:00,-350679.09910589334,Equity,-0.0007973508262923417
2020-08-24 00:00:00+00:00,,Others assets,
2020-08-24 00:00:00+00:00,,Stablecoins,
2020-08-24 00:00:00+00:00,-248866582.48473373,DAI,-0.5644169387475031
2020-08-24 00:00:00+00:00,-191709587.7006501,DSR,-0.43478773862772224
2020-08-24 00:00:00+00:00,440926849.2844904,Crypto-Loans,1.0
2020-08-24 00:00:00+00:00,,Real-World Assets,
2020-08-24 00:00:00+00:00,-350679.09910589334,Equity,-0.0007953226247731439
2020-08-25 00:00:00+00:00,-233054788.22217545,DAI,-0.5258760710504794
2020-08-25 00:00:00+00:00,-209753907.6924349,DSR,-0.4732988397544839
2020-08-25 00:00:00+00:00,,Real-World Assets,
2020-08-25 00:00:00+00:00,,Stablecoins,
2020-08-25 00:00:00+00:00,443174354.285849,Crypto-Loans,1.0
2020-08-25 00:00:00+00:00,,Others assets,
2020-08-25 00:00:00+00:00,-365658.37123792275,Equity,-0.0008250891950351257
2020-08-26 00:00:00+00:00,-365658.37123792275,Equity,-0.0008203215971787709
2020-08-26 00:00:00+00:00,,Stablecoins,
2020-08-26 00:00:00+00:00,445750023.52185494,Crypto-Loans,1.0
2020-08-26 00:00:00+00:00,-216241747.29205638,DSR,-0.48511886905476326
2020-08-26 00:00:00+00:00,,Real-World Assets,
2020-08-26 00:00:00+00:00,-229142617.85855997,DAI,-0.5140608093480565
2020-08-26 00:00:00+00:00,,Others assets,
2020-08-27 00:00:00+00:00,,Real-World Assets,
2020-08-27 00:00:00+00:00,,Others assets,
2020-08-27 00:00:00+00:00,-206360944.13597238,DSR,-0.4655332365932935
2020-08-27 00:00:00+00:00,443278648.90183276,Crypto-Loans,1.0
2020-08-27 00:00:00+00:00,-366568.37733237713,Equity,-0.0008269479665679913
2020-08-27 00:00:00+00:00,,Stablecoins,
2020-08-27 00:00:00+00:00,-236551136.38852733,DAI,-0.533639815440137
2020-08-28 00:00:00+00:00,,Others assets,
