,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
4408,2022-03-17 00:00:00+00:00,1-week,1153845551.8394692,1153845551.8394692,0.0,9580620376.952599
4409,2022-03-17 00:00:00+00:00,1-year,5939931559.113716,5873614687.858821,66316871.25489585,9580620376.952599
4410,2022-03-16 00:00:00+00:00,1-week,1155424320.2101939,1155424320.2101939,0.0,9557790536.637457
4411,2022-03-16 00:00:00+00:00,1-month,261903253.26539937,261903253.26539937,0.0,9557790536.637457
4412,2022-03-16 00:00:00+00:00,1-block,918865688.2281392,918865688.2281392,0.0,9557790536.637457
4413,2022-03-16 00:00:00+00:00,1-year,5916316950.740242,5850169496.869852,66147453.87039025,9557790536.637457
4414,2022-03-16 00:00:00+00:00,1-day,918865688.2281392,918865688.2281392,0.0,9557790536.637457
4415,2022-03-16 00:00:00+00:00,3-months,386414635.96534336,386414635.96534336,0.0,9557790536.637457
4416,2022-03-15 00:00:00+00:00,3-months,386147327.217119,386147327.217119,0.0,9552596971.643118
4417,2022-03-15 00:00:00+00:00,1-week,1154670052.7266889,1154670052.7266889,0.0,9552596971.643118
4418,2022-03-15 00:00:00+00:00,1-year,5913361470.596616,5847393872.858706,65967597.73790874,9552596971.643118
4419,2022-03-15 00:00:00+00:00,1-day,918348021.8833233,918348021.8833233,0.0,9552596971.643118
4420,2022-03-15 00:00:00+00:00,1-block,918348021.8833233,918348021.8833233,0.0,9552596971.643118
4421,2022-03-15 00:00:00+00:00,1-month,261722077.33604732,261722077.33604732,0.0,9552596971.643118
4422,2022-03-14 00:00:00+00:00,1-week,1160091632.489588,1160091632.489588,0.0,9564063314.451288
4423,2022-03-14 00:00:00+00:00,1-day,920357924.0498121,920357924.0498121,0.0,9564063314.451288
4424,2022-03-14 00:00:00+00:00,3-months,388382183.38191575,388382183.38191575,0.0,9564063314.451288
4425,2022-03-14 00:00:00+00:00,1-month,263236813.18107626,263236813.18107626,0.0,9564063314.451288
4426,2022-03-14 00:00:00+00:00,1-block,920357924.0498121,920357924.0498121,0.0,9564063314.451288
