period,collateral,daily_revenues
2024-02-28,WBTC-B,8573.692670775803
2024-02-28,WBTC-C,8327.81695444944
2024-02-28,WSTETH-A,111445.60007878281
2024-02-28,WSTETH-B,21332.24916447575
2024-02-27,DIRECT-SPARK-DAI,0.0
2024-02-27,ETH-A,50845.50828978816
2024-02-27,ETH-B,29167.126259899844
2024-02-27,ETH-C,56217.76215034706
2024-02-27,WBTC-A,20846.721754031478
2024-02-27,WBTC-B,7085.14224707038
2024-02-27,WBTC-C,11779.114752527978
2024-02-27,WSTETH-A,88597.63390286895
2024-02-27,WSTETH-B,16137.24638467122
2024-02-26,DIRECT-SPARK-DAI,0.0
2024-02-26,ETH-A,50721.0876774564
2024-02-26,ETH-B,27265.826319014184
2024-02-26,ETH-C,47432.53578486201
2024-02-26,RWA002-A,7197.226363273082
2024-02-26,WBTC-A,24920.144585962975
2024-02-26,WBTC-B,10256.534957804412
2024-02-26,WBTC-C,21542.3973901441
2024-02-26,WSTETH-A,33504.089870272175
2024-02-26,WSTETH-B,11506.92321181118
2024-02-25,ETH-A,58901.72583027079
2024-02-25,ETH-B,33865.49833455808
2024-02-25,ETH-C,55785.075590712506
2024-02-25,WBTC-A,27257.65355390401
2024-02-25,WBTC-B,8319.152970187255
2024-02-25,WSTETH-A,128421.97707983972
2024-02-25,WSTETH-B,24613.377592535988
2024-02-24,ETH-A,46684.30768440974
2024-02-24,ETH-B,24475.372602288426
2024-02-24,ETH-C,65230.261959655974
2024-02-24,WBTC-A,37501.524002506354
2024-02-24,WBTC-B,12972.918591183388
2024-02-24,WBTC-C,14541.984001984403
2024-02-24,WSTETH-A,103308.44768756791
2024-02-24,WSTETH-B,18109.12298814837
2024-02-23,ETH-A,53941.17583645237
2024-02-23,ETH-B,58438.02340489216
2024-02-23,ETH-C,75434.89989448262
2024-02-23,RWA002-A,6608.297403216567
2024-02-23,RWA007-A,0.0
2024-02-23,RWA014-A,0.0
2024-02-23,WBTC-A,8803.720829188744
2024-02-23,WBTC-B,986.7059748526976
2024-02-23,WBTC-C,14956.113765649505
2024-02-23,WSTETH-B,6725.094425026791
2024-02-22,ETH-A,56874.59951829329
2024-02-22,ETH-B,13238.312978904101
2024-02-22,ETH-C,27765.059465615657
2024-02-22,RWA007-A,0.0
2024-02-22,WBTC-A,26317.471098153448
2024-02-22,WBTC-B,9355.909436309657
2024-02-22,WBTC-C,9432.028270433868
2024-02-22,WSTETH-A,83844.19543297039
2024-02-22,WSTETH-B,14410.602114321247
2024-02-21,ETH-A,45078.86932154161
2024-02-21,ETH-B,21191.47325943313
2024-02-21,ETH-C,55413.488075514535
2024-02-21,RWA002-A,247.09127088526623
2024-02-21,RWA012-A,57026.9598371869
2024-02-21,RWA015-A,0.0
2024-02-21,WBTC-A,22902.089041343304
2024-02-21,WBTC-B,12315.766520600378
2024-02-21,WBTC-C,2822.169379232465
2024-02-21,WSTETH-A,109538.48425018226
2024-02-21,WSTETH-B,15753.67922799307
2024-02-20,DIRECT-SPARK-DAI,0.0
2024-02-20,ETH-A,61167.851108523086
2024-02-20,ETH-B,32804.60886965763
2024-02-20,ETH-C,55592.69179323041
2024-02-20,RWA002-A,16278.849472804637
2024-02-20,WBTC-A,37324.67730447328
2024-02-20,WBTC-B,4407.91256779618
2024-02-20,WBTC-C,10648.42362532197
2024-02-20,WSTETH-A,68546.30509687454
2024-02-20,WSTETH-B,16951.232779509366
2024-02-19,ETH-A,51924.39400520107
2024-02-19,ETH-B,31194.72970827992
2024-02-19,ETH-C,67961.61054611622
2024-02-19,RWA015-A,0.0
2024-02-19,WBTC-A,11587.93802528195
2024-02-19,WBTC-B,12376.87964077746
2024-02-19,WBTC-C,12935.4634572184
2024-02-19,WSTETH-A,91072.88938015964
2024-02-19,WSTETH-B,15210.70171546037
2024-02-18,ETH-A,52168.837031528084
2024-02-18,ETH-B,34959.11370324838
2024-02-18,ETH-C,52155.36718427124
2024-02-18,WBTC-A,26452.401338617547
2024-02-18,WBTC-C,9732.419459607352
2024-02-18,WSTETH-A,54379.477839002706
2024-02-18,WSTETH-B,16163.40573863098
2024-02-17,DIRECT-SPARK-DAI,0.0
2024-02-17,ETH-A,62868.16794591757
2024-02-17,ETH-B,26711.413765284295
2024-02-17,ETH-C,49756.746802523616
2024-02-17,WBTC-A,27252.85206703663
2024-02-17,WBTC-B,7870.378346171759
2024-02-17,WBTC-C,8600.714807177446
2024-02-17,WSTETH-A,122297.26104086556
2024-02-17,WSTETH-B,14317.03978433881
2024-02-16,DIRECT-SPARK-DAI,0.0
2024-02-16,ETH-A,41588.88964887343
2024-02-16,ETH-B,29308.22298298637
2024-02-16,ETH-C,57189.01237591759
2024-02-16,WBTC-A,20578.903934406047
2024-02-16,WBTC-B,8686.145426741768
2024-02-16,WBTC-C,13138.577904654472
2024-02-16,WSTETH-A,41809.98734020497
2024-02-16,WSTETH-B,21355.268783951222
2024-02-15,DIRECT-SPARK-DAI,0.0
2024-02-15,ETH-A,49838.53953287053
2024-02-15,ETH-B,29720.514807057563
2024-02-15,ETH-C,57297.755727229276
2024-02-15,RWA012-A,48486.34967042234
