dt,annual_revenues,asset,blended_rate,collateral,revenues,total_annual_revenues,total_asset,total_blended_rate
2021-12-01 00:00:00+00:00,1041181.1414793154,35885356.85836083,0.029014094679031554,Lending Protocols,2852.5510725460695,154422231.11523417,9011826517.492737,0.017135508635845044
2021-12-01 00:00:00+00:00,1902976.128822876,243063229.60572058,0.007829140310156106,Liquidity Pools,1560.360145492613,154422231.11523417,9011826517.492737,0.017135508635845044
2021-12-01 00:00:00+00:00,2037279.664785916,131107327.76096094,0.015539022109430445,Others,4321.255111498191,154422231.11523417,9011826517.492737,0.017135508635845044
2021-12-01 00:00:00+00:00,541390.006664865,13665355.041739052,0.039617705139109775,RWA,,154422231.11523417,9011826517.492737,0.017135508635845044
2021-12-01 00:00:00+00:00,3303760.9477673555,3285744593.846884,0.0010054831875716118,Stablecoins,,154422231.11523417,9011826517.492737,0.017135508635845044
2021-12-01 00:00:00+00:00,52024310.528874,1304035889.3095906,0.03989484565215286,WBTC,142045.34893849096,154422231.11523417,9011826517.492737,0.017135508635845044
2021-11-30 00:00:00+00:00,92251210.77527632,3965808852.1026154,0.023261638222015175,ETH,246134.53651367032,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,942658.3100020238,35885356.85836083,0.026268606265298894,Lending Protocols,2582.62550685486,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,1881443.9211582923,241282403.71703094,0.007797683926279164,Liquidity Pools,2183.2441699795468,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,2052206.210420946,132064404.66618298,0.015539434835664263,Others,2611.4244940689327,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,541390.006664865,13665355.041739052,0.039617705139109775,RWA,1128.7284267179275,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,3303760.947767355,3277361168.2939334,0.0010080551938336307,Stablecoins,,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-30 00:00:00+00:00,52126131.38579511,1306575476.4984355,0.03989523171328061,WBTC,135589.5467082492,153098801.55708492,8972643017.178299,0.017062843274158385
2021-11-29 00:00:00+00:00,91720744.648386,3935286636.8026342,0.023307258940331685,ETH,247144.62836553887,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,1031568.1605645965,35885356.85836083,0.028746214358023152,Lending Protocols,2826.214138533141,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,1870596.9404745896,239246431.87602854,0.007818703609522944,Liquidity Pools,3594.719373157869,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,2049454.8347177377,131839226.17432876,0.015545106674153097,Others,4828.4634458037335,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,608350.1550485617,15554333.804459684,0.039111296098977746,RWA,1011.4874413394161,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,3303760.9477673555,3216369848.0182557,0.001027170724723385,Stablecoins,5363.466720648788,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-29 00:00:00+00:00,52352755.90224427,1312241089.1418526,0.03989568405945942,WBTC,128666.54081927067,152937231.58920312,8886422922.67592,0.01721021303171895
2021-11-28 00:00:00+00:00,91454345.51024838,3924150006.127321,0.023305517211994444,ETH,256508.9084851993,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-28 00:00:00+00:00,970861.9544472289,35885356.85836083,0.027054543675828893,Lending Protocols,2659.8957656088464,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-28 00:00:00+00:00,1849438.8915404705,235015514.1091381,0.007869433209765103,Liquidity Pools,9602.194685682207,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-28 00:00:00+00:00,2017871.558000804,130539828.49089676,0.01545789956466444,Others,10368.930936612487,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-28 00:00:00+00:00,606272.786780462,15519486.601673305,0.03906526049096843,RWA,3032.259959768395,152651992.5545188,8833357702.653994,0.01728130997215864
2021-11-28 00:00:00+00:00,3303707.313096812,3181087955.6448703,0.0010385463587180457,Stablecoins,18835.87345200788,152651992.5545188,8833357702.653994,0.01728130997215864
