Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-06-18 00:00:00+00:00,1646670135.6455188,-108074579.27595973,551328837.783534,133788048.94479752,185635720.02996275,189346916.53712314,4647829225.984756,After
2022-06-19 00:00:00+00:00,1924578267.6639209,-5056807.123321295,669075538.2595472,142230823.29108047,190053597.0489218,209728232.78968662,4562853482.168274,After
2022-06-20 00:00:00+00:00,1780652343.9623218,10103951.912941217,747853902.2640333,138584920.62883377,194282495.0079901,308111781.65852207,4467348817.129501,After
2022-06-21 00:00:00+00:00,1774117407.0538135,57074596.48870206,864277004.3050184,138065474.05942154,198998443.56500456,354163532.0384049,4381610485.126114,After
2022-06-22 00:00:00+00:00,1633303458.4291492,42441257.76628518,891583896.8743849,132726708.80698013,200974511.38366148,420480777.60291904,4324054589.577423,After
2022-06-23 00:00:00+00:00,1640661781.1630359,59045264.574319124,983879886.8559523,132917460.38440323,204571119.75611326,463466672.03608555,4213647811.7482758,After
2022-06-24 00:00:00+00:00,1794522582.6984057,-23210869.205900908,699278340.6529493,141128375.06972122,169622165.22133848,259660057.2589249,4809196958.4900055,After
2022-06-25 00:00:00+00:00,1761835274.3860278,8162346.34141469,739039521.2768507,140744660.211689,181152637.47555754,318168766.0263199,4715304139.973663,After
2022-06-26 00:00:00+00:00,1773257837.598308,45214469.069081545,852469327.5620985,140532238.55974197,186815112.5874121,369185259.6944718,4539202536.772537,After
2022-06-27 00:00:00+00:00,1720191397.6877856,57849414.68335557,874190970.1853895,133097172.45898819,191711854.66820738,420258412.4700455,4457205650.241119,After
2022-06-28 00:00:00+00:00,1648266251.285747,71330127.21424031,893812362.8191481,137979378.33214188,198192361.11527464,455327451.00361484,4319419486.684708,After
2022-06-29 00:00:00+00:00,1578337058.9918323,47675388.26799035,900640494.669734,137210000.6572914,202765802.48974058,480156589.521254,4295718019.181137,After
2022-06-30 00:00:00+00:00,1439048097.5591846,-993819.5239999294,843301258.1943312,135704466.20685196,208615043.54137632,505206021.75587314,4232342237.7518616,After
2022-07-01 00:00:00+00:00,1455406175.3201404,-100610352.57515979,647398909.9755201,145848700.6613655,169675584.44072172,344151769.6278824,4953992820.788406,After
2022-07-02 00:00:00+00:00,1440843204.18156,-47537964.9359262,653308702.5295668,147208453.2226448,178465559.67731687,413453298.5567154,4838164349.314072,After
2022-07-03 00:00:00+00:00,1477007611.9404712,-33329706.706663847,692166926.7036695,146726537.58000565,186064644.24502012,446531195.1483597,4732414801.88768,After
2022-07-04 00:00:00+00:00,1597006982.6584888,25624295.004879236,675522296.1612501,146871314.9092903,200641967.88688108,483419682.9009537,4729771682.51207,After
2022-07-05 00:00:00+00:00,1672819521.7528186,23212890.69733262,712337571.8880262,144554692.4314003,207019753.17370054,495491981.3460831,4657458678.171112,After
2022-07-06 00:00:00+00:00,1675570346.9728503,54551290.30873418,770105400.5801344,144237552.19914627,212695580.07856962,527677540.4330582,4528445451.59552,After
2022-07-07 00:00:00+00:00,1776381300.4403186,91192205.3120377,447696573.3297987,143256431.72851944,215044667.9527609,514110487.19355625,4588400940.358429,After
2022-07-08 00:00:00+00:00,1623718306.34724,-28044661.35035205,212013967.26220226,145630995.3611641,180537415.7790167,340326104.25050205,5302021058.868393,After
2022-07-09 00:00:00+00:00,1644682154.5491748,-13816896.99571681,213043482.4643507,148087407.61270523,189134022.7649481,418886328.5806717,5165900221.135468,After
2022-07-10 00:00:00+00:00,1549532818.1826282,19946941.866595507,205819344.66707897,137668089.31320572,196966229.24260923,420754104.1327347,5111344448.6796875,After
2022-07-11 00:00:00+00:00,1556449658.8710437,26189827.583359957,239627656.63199902,135614190.48581314,202721141.03019163,378812679.953566,5051468437.658295,After
2022-07-12 00:00:00+00:00,1421223770.8772082,26036600.977430582,192259924.19323254,129941482.58247757,205413470.80177137,451835934.6021561,4939094432.891495,After
2022-07-13 00:00:00+00:00,1522407754.7252307,23661518.640847445,245076300.24529552,130774937.74061966,206736319.0136244,464664452.7172074,4885742910.57782,After
2022-07-14 00:00:00+00:00,1726639743.542934,90694148.58064198,298038772.0185194,132310586.83546066,209136298.93366072,494797828.0179886,4792281231.107498,After
2022-07-15 00:00:00+00:00,1640367019.755382,-14453301.144371271,32106082.421809196,136310770.08636856,175510526.31173918,340496431.97132725,5585013793.758881,After
2022-07-16 00:00:00+00:00,1864949911.5129046,59032546.96770978,90536945.88253307,138739211.5465355,182539227.88141844,403475514.42307895,5412926545.074356,After
2022-07-17 00:00:00+00:00,1956278459.1624866,68405060.50395083,151292374.22461987,142769871.04792404,187804856.619467,562602855.0135942,5233819541.516052,After
2022-07-18 00:00:00+00:00,2241141877.7532,117834680.80900931,277117371.8852186,150815716.45854568,193027523.5620825,620175232.206984,5040246108.964798,After
2022-07-19 00:00:00+00:00,2394268099.6179767,154437084.24854922,376099849.93378735,157454422.3625908,199434363.55675718,640012455.982863,4917316027.839966,After
2022-07-20 00:00:00+00:00,2414457531.27,168199526.10493016,434819871.9125929,163156074.32606888,205404857.5393965,685144381.4846635,4797680681.282562,After
2022-07-21 00:00:00+00:00,2742875758.3723407,175420116.14118218,603952174.3019056,177257061.66313553,210383347.14167997,994118744.8384843,4632766477.83049,After
2022-07-22 00:00:00+00:00,2495877776.1282306,65085234.35517955,313219631.00924206,169964455.680233,174577765.54914305,994476768.1311173,5308555532.637817,After
2022-07-23 00:00:00+00:00,2447464254.910732,76461886.96927094,327711577.77483654,170839487.8573265,183732964.68715116,1178525770.126021,5094660859.200485,After
