,dsr_balance,dsr_rate,dt,non_dsr_balance,total_balance
95,1537502167.6661334,0.05000000082842315,2023-12-16T00:00:00Z,3680771604.8097014,5218273772.475872
96,1550144613.8859608,0.05000000082842315,2023-12-15T00:00:00Z,3636328388.151956,5186473002.037953
97,1557054533.3200507,0.05000000082842315,2023-12-14T00:00:00Z,3648014616.190329,5205069149.510416
98,1570098889.0795527,0.05000000082842315,2023-12-13T00:00:00Z,3634608274.7768836,5204707163.856473
99,1584933590.0719135,0.05000000082842315,2023-12-12T00:00:00Z,3640216126.5573716,5225149716.629321
100,1663900237.9802759,0.05000000082842315,2023-12-11T00:00:00Z,3659169901.1922665,5323070139.172579
101,1696703440.271695,0.05000000082842315,2023-12-10T00:00:00Z,3674591311.6134534,5371294751.885185
102,1682325842.50612,0.05000000082842315,2023-12-09T00:00:00Z,3677347910.875201,5359673753.381358
103,1663222235.8535273,0.05000000082842315,2023-12-08T00:00:00Z,3678288544.864878,5341510780.718441
104,1645924079.181779,0.05000000082842315,2023-12-07T00:00:00Z,3678829011.932829,5324753091.114644
105,1638671078.7835906,0.05000000082842315,2023-12-06T00:00:00Z,3673302774.514393,5311973853.298019
106,1616490815.0013995,0.05000000082842315,2023-12-05T00:00:00Z,3678103766.8503532,5294594581.851789
107,1618267605.5122473,0.05000000082842315,2023-12-04T00:00:00Z,3678430581.913646,5296698187.42593
108,1605285715.960106,0.05000000082842315,2023-12-03T00:00:00Z,3675127406.5397816,5280413122.499924
109,1596930711.2285779,0.05000000082842315,2023-12-02T00:00:00Z,3665148033.843776,5262078745.072391
110,1603399904.4097474,0.05000000082842315,2023-12-01T00:00:00Z,3670930386.590389,5274330291.000173
111,1619275253.7841527,0.05000000082842315,2023-11-30T00:00:00Z,3662272506.192453,5281547759.976643
112,1614819456.7049148,0.05000000082842315,2023-11-29T00:00:00Z,3665927571.0223813,5280747027.727333
113,1621512636.2309625,0.05000000082842315,2023-11-28T00:00:00Z,3660063133.6023426,5281575769.833343
114,1614352249.1773114,0.05000000082842315,2023-11-27T00:00:00Z,3663395082.5064483,5277747331.683797
115,1621931022.0570557,0.05000000082842315,2023-11-26T00:00:00Z,3668630278.3267,5290561300.383794
116,1619030493.7313287,0.05000000082842315,2023-11-25T00:00:00Z,3666514205.285975,5285544699.017342
117,1604371143.402309,0.05000000082842315,2023-11-24T00:00:00Z,3663453960.4730263,5267825103.875373
