,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd
2023-04-13,2559461076.9184923,1053308376.7384675,1382888841.3619573,393705044.5341829,410245425.9821841,956874054.1874467,2094647561.8077784
2023-04-14,2584240839.3707595,1073697430.01944,1386786658.908857,419525446.51454896,364218830.41337305,1046415446.9243982,2088373927.460105
2023-04-15,2618724946.986901,1108003167.611304,1416390861.233588,411909455.6390975,390250592.3057373,960913142.3370914,2120784384.3191106
2023-04-16,2616830332.9671535,1136608300.7648935,1424172491.998278,407586928.2760932,369784712.50935096,1015753468.0990754,2149631980.829963
2023-04-17,2639898940.573544,1124335020.5672717,1451743669.4631968,424120794.4514443,394593324.1776744,993869721.0138785,2179722015.1871743
2023-04-18,2668219488.896751,1109671886.6419487,1469286631.6771085,463062082.24048704,386781010.0944269,844437437.401279,2203422481.714053
2023-04-19,2637197282.342631,1093569081.0353696,1446011561.7016797,402726494.1474729,412678820.28488046,1066312202.294455,2183283356.3692837
2023-04-20,2678437351.2793875,1083322563.5399063,1469943650.6394613,455782233.5504379,414455124.36636835,846922725.7121263,2216545462.725974
2023-04-21,2664104249.9910684,1128862242.6188715,1448153341.7794113,409015696.62444204,366733844.8470112,1017054896.2359724,2200689212.3948374
2023-04-22,2673651000.631689,1123698787.8848388,1465062299.5756667,448591011.1874105,396411287.0266809,1060266705.8709266,2219783719.7827415
2023-04-23,2730678587.5929976,1068052850.876655,1477787574.6600397,408284176.30428374,394005016.9520832,942152229.3765081,2261724570.4971576
2023-04-24,2664117042.833469,1136293157.329102,1476997801.882551,419631720.9615455,371603229.4509801,964516579.6457504,2244790644.35236
2023-04-25,2637402513.304043,1104283898.5087984,1463248279.203321,438431254.6576528,401710152.01901793,1053220079.5541049,2245320810.662025
2023-04-26,2684599315.884626,1120656942.4490237,1479513924.4014108,416586477.520592,410711556.700836,942474143.7661397,2261239239.4720798
2023-04-27,2666601317.2961507,1152372112.9212022,1477274556.781603,416869345.10880905,396657303.62424546,803010066.6061069,2251551396.8350115
2023-04-28,2603286762.6974387,1076398277.714076,1436387357.7611632,457031590.00910807,382509552.2524068,888277314.1341658,2202153946.5863853
2023-04-29,2575218259.233809,1141521978.7010098,1422938064.9082305,439629282.1167964,372412873.3808106,856328074.984578,2174513597.102634
2023-04-30,2538103831.4125285,1089636557.559828,1400789778.438621,389393675.56382567,388179469.34349877,1008497639.7766348,2174847864.483567
2023-05-01,2542619458.973451,1124681257.4167073,1406657258.1525195,450543103.7064832,401926481.3093514,911928252.1723254,2176403730.7589946
2023-05-02,2545329150.819128,1129043523.3397439,1411278836.7724426,438828408.27985823,391738708.2377608,901743950.5686561,2187362072.5781903
2023-05-03,2541341303.0540876,1121379395.7268906,1395084076.942788,385342757.14359784,383802215.21921736,943006130.8839933,2183555840.0021367
2023-05-04,2523297046.4361286,1136429683.1875741,1408690296.2093084,418012657.0745015,372466521.10938823,851028808.8252287,2156749053.211565
2023-05-05,2477675983.3990493,1127445304.7577124,1390788149.82118,393529658.28320044,380694774.9939452,1006370476.9909996,2146192281.5001287
2023-05-06,2486777059.3912997,1139448319.0706987,1404553289.990308,405024994.95069396,377783739.1379125,920525789.4589696,2168229951.804059
2023-05-07,2476330199.443106,1127326174.6311252,1421165912.1109867,416761873.9382992,398872643.67011684,790569303.4173731,2156809161.190673
2023-05-08,2449004728.825767,1117642848.4640799,1365236337.9306958,426352443.26994085,397488827.25424445,957577130.5608921,2136127821.776997
2023-05-09,2474707948.242773,1101360105.8722994,1380133153.6651947,436723998.1291525,423677875.8821858,1057172572.4420424,2155051364.127439
2023-05-10,2546056340.341532,1126274203.999668,1400157931.8884928,417183389.47866535,384867842.5936497,1019260145.4444667,2196316797.166812
2023-05-11,2520433077.5417976,1161336710.628419,1435252791.4113765,408330499.412537,363123564.5376557,892586289.037741,2209834513.9052505
2023-05-12,2503956178.5919857,1127667714.2914777,1408831687.488544,388720904.94469035,368085235.1232106,1006796286.5234773,2192089834.329907
2023-05-13,2517933029.7075696,1133551204.6532817,1411424484.4749181,400821891.5851764,383659730.29392093,890205097.6386579,2197530373.5224543
2023-05-14,2473734031.402003,1161859305.0824757,1404558333.7700071,421398783.72175294,384650918.1336688,970650899.9335104,2178411980.444564
2023-05-15,2494381725.1681633,1135302874.4177024,1430147776.066128,377240813.386068,395161248.1936673,866130231.7144808,2201479672.8163314
2023-05-16,2461517847.5852437,1062174078.2439748,1382738905.1751463,448415748.9139293,383037223.64549637,976099382.9156373,2173135199.213477
2023-05-17,2455341788.903828,1168812250.434512,1390742013.020151,417846606.00100344,366255419.891883,865557593.5571896,2172485072.3921337
2023-05-18,2438562558.2405715,1153291290.3082747,1377320957.754445,390284681.5228348,413795877.65594274,978161790.7462182,2162474687.412964
2023-05-19,2465147136.822786,1107461705.7278812,1394477930.6082842,433558983.0344549,386474974.21388036,849698242.1776052,2183993200.8125076
2023-05-20,2440932183.180563,1155321504.7487648,1381433056.6932518,404079366.43706,372593070.63205224,937628681.6871865,2168818140.214672
