date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
2023-02-19,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.15817673688273565, 'ETH Vault_collateral_usd': 0.2935152923250229, 'stETH Vault_collateral_usd': 0.1061060880901546, 'Stablecoin Vault_collateral_usd': 0.04761584720070779, 'Altcoin Vault_collateral_usd': 0.04621197070968472, 'LP Vault_collateral_usd': 0.11379394061341866, 'RWA Vault_collateral_usd': 0.005826648177591233, 'PSM Vault_collateral_usd': 0.2287534760006843}",,,,,,,
2023-02-19,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000005326, 'LP Vault_collateral_usd': 0.08900714709399088, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.13099285290600948}",,,,,,
2023-02-19,,,,,,,,,,,,0.739616115458674,,,,,
2023-02-19,,,,,,,,,,,,,0.13155754758044108,,,,
2023-02-19,,,,,,,,,,,,,,3.8850358378508567e-05,,,
2023-02-19,,,,,,,,,,,,,,,-0.20348571504745772,,
2023-02-19,,,,,,,,,,,,,,,,-0.9819014697765521,
2023-02-19,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2023-02-14             1067895430  ...             2101288744
2023-02-15             1062555953  ...             2090782300
2023-02-16             1057243173  ...             2080328388
2023-02-17             1051956957  ...             2069926747
2023-02-18             1046697172  ...             2059577113

[457 rows x 8 columns]"
2023-02-19,,,"{'ETH Vault_dai_ceiling': -0.5, 'stETH Vault_dai_ceiling': 0.5, 'BTC Vault_dai_ceiling': -0.5, 'Altcoin Vault_dai_ceiling': -0.25, 'Stablecoin Vault_dai_ceiling': 0.25, 'PSM Vault_dai_ceiling': -0.5}",,,,,,,,,,,,,,
2023-03-16,,8999053305.620926,,,,,,,,,,,,,,,
2023-03-16,,,,9049923714.620928,,,,,,,,,,,,,
2023-03-16,,,,,"[0.1        0.05       0.5        0.1        0.01       0.08234736
 0.02       0.13765264]",,,,,,,,,,,,
2023-03-16,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2023-03-15 00:00:00, dtype: float64",,,,,,,,,,,
2023-03-16,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000268, 'ETH Vault_collateral_usd': 0.05000000000000657, 'stETH Vault_collateral_usd': 0.49999999999999584, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.08234735697857494, 'RWA Vault_collateral_usd': 0.019999999999995743, 'PSM Vault_collateral_usd': 0.137652643021425}",,,,,,,,,,
2023-03-16,,,,,,,,-0.6626224388804185,,,,,,,,,
2023-03-16,,,,,,,,,3.115277607762011,,,,,,,,
2023-03-16,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.15662179536624563, 'ETH Vault_collateral_usd': 0.28162851070008954, 'stETH Vault_collateral_usd': 0.11078040706379821, 'Stablecoin Vault_collateral_usd': 0.04541445745676607, 'Altcoin Vault_collateral_usd': 0.04410307363596067, 'LP Vault_collateral_usd': 0.1169980346790568, 'RWA Vault_collateral_usd': 0.005621087050470327, 'PSM Vault_collateral_usd': 0.23883263404761274}",,,,,,,
2023-03-16,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000268, 'ETH Vault_collateral_usd': 0.05000000000000657, 'stETH Vault_collateral_usd': 0.49999999999999584, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.08234735697857494, 'RWA Vault_collateral_usd': 0.019999999999995743, 'PSM Vault_collateral_usd': 0.137652643021425}",,,,,,
2023-03-16,,,,,,,,,,,,0.7822031380905152,,,,,
2023-03-16,,,,,,,,,,,,,0.13090972812255902,,,,
2023-03-16,,,,,,,,,,,,,,3.7779000466424295e-05,,,
2023-03-16,,,,,,,,,,,,,,,-0.09430230960659959,,
2023-03-16,,,,,,,,,,,,,,,,-0.7569625274874846,
2023-03-16,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2023-03-11              942118966  ...             1853799466
2023-03-12              937408371  ...             1844530469
2023-03-13              932721329  ...             1835307816
2023-03-14              928057722  ...             1826131277
2023-03-15              923417434  ...             1817000621

[482 rows x 8 columns]"
2023-03-16,,,"{'stETH Vault_dai_ceiling': 0.30591748452533685, 'ETH Vault_dai_ceiling': 0.22593658140592132, 'BTC Vault_dai_ceiling': -0.21619213295519302, 'Altcoin Vault_dai_ceiling': 0.15650825869754792, 'Stablecoin Vault_dai_ceiling': 0.028643293056222874, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': -0.41170213785875}",,,,,,,,,,,,,,
2023-04-10,,8868209897.26196,,,,,,,,,,,,,,,
2023-04-10,,,,8919080306.26196,,,,,,,,,,,,,
2023-04-10,,,,,"[0.1        0.05       0.5        0.1        0.01       0.06914867
 0.02       0.15085133]",,,,,,,,,,,,
2023-04-10,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2023-04-09 00:00:00, dtype: float64",,,,,,,,,,,
