day,BTC Vault_collateral_usd,ETH Vault_collateral_usd,stETH Vault_collateral_usd,Stablecoin Vault_collateral_usd,Altcoin Vault_collateral_usd,LP Vault_collateral_usd,RWA Vault_collateral_usd,PSM Vault_collateral_usd,BTC Vault_collateral_usd_Status,ETH Vault_collateral_usd_Status,stETH Vault_collateral_usd_Status,Stablecoin Vault_collateral_usd_Status,Altcoin Vault_collateral_usd_Status,LP Vault_collateral_usd_Status,RWA Vault_collateral_usd_Status,PSM Vault_collateral_usd_Status,Daily Portfolio Value
2020-06-18 00:00:00+00:00,25345864.984386608,435058587.8023819,0.0,2588184.341027997,2156181.2587799444,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,465148818.3865764
2020-06-19 00:00:00+00:00,25090916.096551124,439972005.372571,0.0,2336771.6309179976,2197074.0068929954,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,469596767.1069331
2020-06-20 00:00:00+00:00,18652774.881966982,422839656.7752632,0.0,2719584.8295169976,2301900.5169746066,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,446513917.00372183
2020-06-21 00:00:00+00:00,18663088.7780183,387936821.5078675,0.0,2699137.8295169976,1129590.421243345,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,410428638.5366462
2020-06-22 00:00:00+00:00,25673976.338813588,417990882.3953317,0.0,2697367.9920809977,1123684.5254399248,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,447485911.2516662
2020-06-23 00:00:00+00:00,25736013.2515605,418365388.0796645,0.0,2669480.695326998,784274.276946005,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,447555156.303498
2020-06-24 00:00:00+00:00,24643878.850530177,404906928.0216313,0.0,2616981.248726999,445480.1625617786,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,432613268.2834503
2020-06-25 00:00:00+00:00,24764933.548171703,405905702.0486065,0.0,2316951.248726998,494080.7578827922,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,433481667.603388
2020-06-26 00:00:00+00:00,24359135.94679908,399898206.8635966,0.0,2234796.929461998,519904.3763816185,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,427012044.11623937
2020-06-27 00:00:00+00:00,24169060.13365528,389309705.15136343,0.0,2234349.199461998,527139.4976649316,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,416240253.9821456
2020-06-28 00:00:00+00:00,24308647.905323252,393192782.34984756,0.0,2158013.199460998,492033.89922609914,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,420151477.3538579
2020-06-29 00:00:00+00:00,24760380.17934713,396040098.2666929,0.0,2086299.5957059981,479729.4516568946,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,423366507.4934029
2020-06-30 00:00:00+00:00,24612695.49448167,390043307.08865696,0.0,2097097.1128899984,852531.5839459372,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,417605631.2799746
2020-07-01 00:00:00+00:00,24940003.923108004,399352515.6796697,0.0,23746064.77062299,983610.4308860654,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,449022194.8042867
2020-07-02 00:00:00+00:00,24536536.313056167,396451442.32455134,0.0,24843502.682029992,1055527.42111248,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,446887008.74075
2020-07-03 00:00:00+00:00,24732175.825481027,418300505.62243867,0.0,24851854.38152699,1309199.8862570222,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,469193735.7157037
2020-07-04 00:00:00+00:00,30848559.715385407,432280931.559968,0.0,26015808.39357299,1303045.0522213867,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,490448344.7211478
2020-07-05 00:00:00+00:00,32378064.687026367,426030691.2717327,0.0,26513401.711592995,1608161.263120159,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,486530318.9334722
2020-07-06 00:00:00+00:00,40162149.655073635,446336299.51478755,0.0,26585563.17755099,1779709.2520528743,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,514863721.5994651
2020-07-07 00:00:00+00:00,45602452.30858336,454553246.06422484,0.0,26671129.09161199,1760252.542287082,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,528587080.0067073
2020-07-08 00:00:00+00:00,46634069.42671131,475589095.97517794,0.0,26845895.861489985,1792740.1392447762,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,550861801.402624
2020-07-09 00:00:00+00:00,45633981.58718751,463764371.15419775,0.0,26919616.329177987,1846336.0853826965,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,538164305.1559459
2020-07-10 00:00:00+00:00,45606426.57052832,464354258.3817404,0.0,26959570.290914994,1812275.6357290186,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,538732530.8789128
2020-07-11 00:00:00+00:00,45584609.49542575,475901713.6379833,0.0,27163539.156749986,1879666.5726113277,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,550529528.8627704
2020-07-12 00:00:00+00:00,45708514.229127094,463234725.4522941,0.0,27080278.24439699,1733101.4977235096,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,537756619.4235417
2020-07-13 00:00:00+00:00,45716184.2034718,467712010.5390054,0.0,27104778.244396992,1810370.1282839854,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,542343343.1151582
2020-07-14 00:00:00+00:00,38370591.256642334,473671743.33160794,0.0,27051242.42596999,1830388.2303391404,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,540923965.2445594
2020-07-15 00:00:00+00:00,38096797.94974572,469279274.65134144,0.0,27439290.97152399,1838953.3638785868,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,536654316.93648976
2020-07-16 00:00:00+00:00,37801142.814506136,460880628.617764,0.0,27697922.32385301,1847810.9669768664,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,528227504.7231
2020-07-17 00:00:00+00:00,37981729.35595213,464777150.8687961,0.0,37720683.446262,1899895.5022001788,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,542379459.1732104
2020-07-18 00:00:00+00:00,38064542.74077208,475373018.06290424,0.0,37721464.734662004,2126359.8504042886,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,553285385.3887426
2020-07-19 00:00:00+00:00,37891840.71125799,484689339.85409844,0.0,42667037.330866,10429172.348940153,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,575677390.2451626
2020-07-20 00:00:00+00:00,37884259.405162774,482039289.06959003,0.0,43393541.976663,10031944.531112216,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,573349034.982528
2020-07-21 00:00:00+00:00,38795661.2544754,504400207.4791857,0.0,43609183.363226004,9954140.28645622,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,596759192.3833433
2020-07-22 00:00:00+00:00,38733718.87248007,544399625.4665589,0.0,22584271.372548003,10151807.510110497,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,615869423.2216974
2020-07-23 00:00:00+00:00,36731913.66715378,629925726.4117603,0.0,47870961.257759005,10038045.738995198,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,724566647.0756683
2020-07-24 00:00:00+00:00,36390268.5245133,671564217.8445506,0.0,59275160.68139701,10579862.452799575,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,777809509.5032604
2020-07-25 00:00:00+00:00,36823692.22057789,717683992.7737257,0.0,26010698.011459004,10663737.280526321,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,791182120.2862889
2020-07-26 00:00:00+00:00,37266124.03549796,729910520.7855527,0.0,48778970.19307799,10167408.498136058,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,826123023.5122647
2020-07-27 00:00:00+00:00,41881151.072088934,764013658.8865883,0.0,51222862.993535265,9517760.868606618,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,866635433.8208191
2020-07-28 00:00:00+00:00,41365383.035069376,756336423.6635942,0.0,57365186.648191996,10083012.611923257,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,865150005.9587789
2020-07-29 00:00:00+00:00,42377539.20512155,792247974.8571762,0.0,65078770.43548835,9912576.112860724,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,909616860.6106467
2020-07-30 00:00:00+00:00,43334026.13551151,833598540.7071501,0.0,76422323.17522399,9326174.127802776,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,962681064.1456883
2020-07-31 00:00:00+00:00,79473269.21764123,882280627.7496425,0.0,65021574.31121491,9446474.153627515,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1036221945.4321262
2020-08-01 00:00:00+00:00,84079139.29732949,969019085.9527137,0.0,54430379.10008503,9616688.448976131,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1117145292.7991042
2020-08-02 00:00:00+00:00,78902510.63722494,948456191.6361732,0.0,52003577.615331024,9686974.98580013,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1089049254.8745291
2020-08-03 00:00:00+00:00,80772180.99339367,966447861.9627298,0.0,58486850.67942502,9900379.746865185,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1115607273.3824139
2020-08-04 00:00:00+00:00,79858993.12383682,985304157.2201947,0.0,55782744.91867804,10432240.726410223,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1131378135.9891198
2020-08-05 00:00:00+00:00,79856154.15887919,1030899382.6160249,0.0,56175550.23363103,10592068.58223526,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1177523155.5907705
2020-08-06 00:00:00+00:00,84072667.80413751,965161416.4738704,0.0,56149691.19397302,10679934.563386116,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1116063710.035367
2020-08-07 00:00:00+00:00,79677387.02282,932886696.5059254,0.0,59310518.44016403,10313891.604847332,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1082188493.573757
2020-08-08 00:00:00+00:00,79543720.36256532,962994984.5458581,0.0,57310477.31402402,10911148.41998856,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,1110760330.642436
